Customer ID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RFMTotal,Cluster,Segment
12346.0,165,11,372.86,1,4,2,142,7,2,At Risk
12347.0,3,2,1323.32,4,2,3,423,9,0,High Value
12348.0,74,1,222.16,2,1,1,211,4,0,High Value
12349.0,43,3,2671.14,3,3,4,334,10,0,High Value
12351.0,11,1,300.93,4,1,1,411,6,0,High Value
12352.0,11,2,343.8,4,2,2,422,8,0,High Value
12353.0,44,1,317.76,3,1,2,312,6,0,High Value
12355.0,203,1,488.21000000000004,1,1,2,112,4,2,At Risk
12356.0,16,3,3562.25,4,3,4,434,11,0,High Value
12357.0,24,2,12079.99,3,2,4,324,9,0,High Value
12358.0,11,3,2719.01,4,3,4,434,11,0,High Value
12359.0,61,6,2563.36,2,4,4,244,10,0,High Value
12360.0,15,5,1590.83,4,3,3,433,10,0,High Value
12361.0,98,3,321.35,2,3,2,232,7,0,High Value
12362.0,374,1,130.0,1,1,1,111,3,2,At Risk
12366.0,269,1,500.24,1,1,2,112,4,2,At Risk
12368.0,264,1,917.6999999999999,1,1,3,113,5,2,At Risk
12369.0,49,3,1791.15,3,3,4,334,10,0,High Value
12370.0,260,3,774.62,1,3,3,133,7,2,At Risk
12371.0,45,3,2179.42,3,3,4,334,10,0,High Value
12373.0,260,2,763.0500000000001,1,2,3,123,6,2,At Risk
12374.0,57,3,2246.29,2,3,4,234,9,0,High Value
12376.0,25,2,503.15,3,2,2,322,7,0,High Value
12377.0,17,2,1798.2,4,2,4,424,10,0,High Value
12378.0,198,1,1407.7,1,1,3,113,5,2,At Risk
12379.0,58,2,767.98,2,2,3,223,7,0,High Value
12380.0,101,7,6951.49,2,4,4,244,10,0,High Value
12385.0,15,1,1938.4,4,1,4,414,9,0,High Value
12386.0,2,1,258.9,4,1,1,411,6,0,High Value
12387.0,51,1,143.94,3,1,1,311,5,0,High Value
12388.0,81,2,1120.45,2,2,3,223,7,0,High Value
12389.0,38,3,1433.33,3,3,3,333,9,0,High Value
12391.0,100,5,2312.53,2,3,4,234,9,0,High Value
12392.0,227,1,234.75000000000003,1,1,1,111,3,2,At Risk
12393.0,18,2,816.85,4,2,3,423,9,0,High Value
12395.0,7,4,2048.64,4,3,4,434,11,0,High Value
12396.0,310,1,931.43,1,1,3,113,5,2,At Risk
12399.0,21,3,853.65,3,3,3,333,9,0,High Value
12400.0,50,1,205.25,3,1,1,311,5,0,High Value
12402.0,28,5,1031.3,3,3,3,333,9,0,High Value
12403.0,157,1,591.6600000000001,1,1,2,112,4,2,At Risk
12404.0,318,1,63.24,1,1,1,111,3,2,At Risk
12406.0,35,3,2975.06,3,3,4,334,10,0,High Value
12408.0,21,3,1452.22,3,3,3,333,9,0,High Value
12409.0,56,4,12346.619999999999,2,3,4,234,9,0,High Value
12410.0,138,1,320.38,1,1,2,112,4,2,At Risk
12411.0,45,1,346.9,3,1,2,312,6,0,High Value
12412.0,38,3,1370.05,3,3,3,333,9,0,High Value
12413.0,38,1,241.35,3,1,1,311,5,0,High Value
12414.0,99,3,390.0,2,3,2,232,7,0,High Value
12415.0,11,7,19543.84,4,4,4,444,12,0,High Value
12416.0,292,1,202.56,1,1,1,111,3,2,At Risk
12417.0,46,11,3167.81,3,4,4,344,11,0,High Value
12418.0,49,3,1352.62,3,3,3,333,9,0,High Value
